state,station,MRI (yrs),R-squared,min wind threshold,coeff a,coeff b,coeff c,coeff d,min wind threshold,coeff a,coeff b,coeff c,coeff d
AR, KFYV,  10, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.5079e-01,   0, -8.0800e-08, -2.7619e-05,  9.0576e-06,  1.5079e-01
AR, KFYV,  25, 0.998,   0, -3.7521e-08, -2.7179e-05, -4.4545e-06,  1.7016e-01,    ,            ,            ,            ,            
AR, KFYV,  50, 0.998,   0, -1.6731e-08, -2.6727e-05, -7.9853e-06,  1.8477e-01,    ,            ,            ,            ,            
AR, KFYV, 100, 0.998,   0, -2.3289e-09, -2.6232e-05, -7.0162e-06,  1.9934e-01,    ,            ,            ,            ,            
AR, KFYV, 500, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.3307e-01,   0,  1.6968e-08, -2.5087e-05,  9.0511e-06,  2.3307e-01
AR, KHOT,   1, 0.976,   0, -8.9820e-07, -7.9846e-06, -9.2683e-04,  1.1829e-01,    ,            ,            ,            ,            
AR, KHOT,   5, 0.976,   0, -4.6044e-07, -1.0940e-05, -1.0689e-03,  1.5817e-01,    ,            ,            ,            ,            
AR, KHOT,  10, 0.977,   0, -3.7444e-07, -1.0232e-05, -1.1327e-03,  1.7523e-01,    ,            ,            ,            ,            
AR, KHOT,  25, 0.977,   0, -3.0032e-07, -8.8232e-06, -1.2085e-03,  1.9770e-01,    ,            ,            ,            ,            
AR, KHOT,  50, 0.977,   0, -2.6153e-07, -7.6985e-06, -1.2577e-03,  2.1464e-01,    ,            ,            ,            ,            
AR, KHOT, 100, 0.977,   0, -2.2793e-07, -6.9950e-06, -1.2929e-03,  2.3151e-01,    ,            ,            ,            ,            
AR, KHOT, 500, 0.977,   0, -1.6655e-07, -6.3152e-06, -1.3382e-03,  2.7052e-01,    ,            ,            ,            ,            
AR, KHRO,   1, 0.979,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  9.6665e-02,   6, -5.7300e-07, -4.1602e-05,  5.0846e-04,  9.5222e-02
AR, KHRO,   5, 0.986,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2861e-01,   6, -4.3838e-07, -3.0190e-05,  4.0688e-04,  1.2735e-01
AR, KHRO,  10, 0.988,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.4236e-01,   6, -4.0760e-07, -2.6097e-05,  3.8894e-04,  1.4104e-01
AR, KHRO,  25, 0.988,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.6056e-01,   8, -3.8271e-07, -2.1045e-05,  3.8158e-04,  1.5905e-01
AR, KHRO,  50, 0.989,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.7441e-01,   9, -3.7130e-07, -1.7462e-05,  3.8633e-04,  1.7261e-01
AR, KHRO, 100, 0.989,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.8835e-01,  10, -3.6385e-07, -1.4061e-05,  3.9844e-04,  1.8614e-01
AR, KHRO, 500, 0.989,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.2143e-01,  15, -3.5553e-07, -6.7173e-06,  4.4820e-04,  2.1742e-01
AR, KLIT,   1, 0.989,   0, -3.5098e-07, -3.1100e-05, -8.2027e-04,  1.2801e-01,    ,            ,            ,            ,            
AR, KLIT,   5, 0.992,   0, -4.8474e-07,  1.1258e-05, -2.2426e-03,  1.7498e-01,    ,            ,            ,            ,            
AR, KLIT,  10, 0.993,   0, -4.4831e-07,  1.7679e-05, -2.6061e-03,  1.9441e-01,    ,            ,            ,            ,            
AR, KLIT,  25, 0.994,   0, -3.9182e-07,  2.2392e-05, -2.9814e-03,  2.1967e-01,    ,            ,            ,            ,            
